Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-25,168.73,169.81,167.36,169.09,50558300,0.0,0.0,,
2024-04-26,169.08,170.53,168.38,168.5,44838400,0.0,0.0,,
2024-04-29,172.56,175.2,172.29,172.68,68169400,0.0,0.0,,
2024-04-30,172.52,174.17,169.2,169.53,65934800,0.0,0.0,,
2024-05-01,168.78,171.9,168.32,168.5,50383100,0.0,0.0,,
2024-05-02,171.7,172.6,170.09,172.22,94214900,0.0,0.0,,
2024-05-03,185.77,186.12,181.8,182.52,163224100,0.0,0.0,,
2024-05-06,181.49,183.33,179.57,180.86,78569700,0.0,0.0,,
2024-05-07,182.59,184.03,180.47,181.54,77305800,0.0,0.0,,
2024-05-08,181.99,182.21,180.6,181.88,45057100,0.0,0.0,,
2024-05-09,181.7,183.79,181.25,183.7,48983000,0.0,0.0,,
2024-05-10,184.28,184.47,181.52,182.44,50759500,0.25,0.0,,
2024-05-13,184.82,186.47,184.0,185.66,72044800,0.0,0.0,,
2024-05-14,186.88,187.67,185.67,186.8,52393600,0.0,0.0,,
2024-05-15,187.28,190.01,186.74,189.08,70400000,0.0,0.0,,
2024-05-16,189.83,190.46,189.02,189.2,52845200,0.0,0.0,,
2024-05-17,188.88,190.17,188.55,189.23,41282900,0.0,0.0,,
2024-05-20,188.7,191.28,188.38,190.4,44361300,0.0,0.0,,
2024-05-21,190.45,192.08,190.28,191.71,42309400,0.0,0.0,,
2024-05-22,191.63,192.17,189.63,190.26,34648500,0.0,0.0,,
2024-05-23,190.34,190.36,186.0,186.25,51005900,0.0,0.0,,
2024-05-24,188.19,189.94,187.41,189.34,36294600,0.0,0.0,,
2024-05-28,190.87,192.35,188.47,189.35,52280100,0.0,0.0,,
2024-05-29,188.97,191.61,188.88,189.65,53068000,0.0,0.0,,
2024-05-30,190.12,191.54,189.99,190.65,49947900,0.0,0.0,,
2024-05-31,190.8,191.92,189.27,191.61,75158300,0.0,0.0,,
2024-06-03,192.25,194.34,191.88,193.38,50080500,0.0,0.0,,
2024-06-04,193.99,194.67,192.38,193.7,47471400,0.0,0.0,,
2024-06-05,194.75,196.24,194.22,195.21,54156800,0.0,0.0,,
2024-06-06,195.03,195.84,193.52,193.83,41181800,0.0,0.0,,
2024-06-07,194.0,196.28,193.49,196.23,53103900,0.0,0.0,,
2024-06-10,196.24,196.64,191.51,192.47,97262100,0.0,0.0,,
2024-06-11,193.0,206.47,192.98,206.46,172373300,0.0,0.0,,
2024-06-12,206.68,219.46,206.21,212.36,198134300,0.0,0.0,,
2024-06-13,214.02,216.02,210.89,213.52,97862700,0.0,0.0,,
2024-06-14,213.13,214.45,210.59,211.78,70122700,0.0,0.0,,
2024-06-17,212.66,218.22,212.01,215.94,93728300,0.0,0.0,,
2024-06-18,216.86,217.9,212.29,213.57,79943300,0.0,0.0,,
2024-06-20,213.21,213.52,208.15,208.98,86172500,0.0,0.0,,
2024-06-21,209.69,211.18,206.42,206.79,246421400,0.0,0.0,,
2024-06-24,207.02,211.99,205.9,207.44,80727000,0.0,0.0,,
2024-06-25,208.45,210.67,207.91,208.37,56713900,0.0,0.0,,
2024-06-26,210.79,214.14,209.93,212.54,66213200,0.0,0.0,,
2024-06-27,213.97,215.02,211.64,213.38,49772700,0.0,0.0,,
2024-06-28,215.05,215.35,209.6,209.91,82542700,0.0,0.0,,
2024-07-01,211.38,216.78,211.21,216.02,60402900,0.0,0.0,,
2024-07-02,215.43,219.64,214.38,219.53,58046200,0.0,0.0,,
2024-07-03,219.26,220.81,218.3,220.81,37369800,0.0,0.0,,
2024-07-05,220.91,225.69,220.91,225.58,60412400,0.0,0.0,,
2024-07-08,226.33,227.09,222.5,227.06,59085900,0.0,0.0,195.55020000000002,
2024-07-09,227.17,228.63,225.61,227.91,48076100,0.0,0.0,196.7266,
2024-07-10,228.53,232.3,228.48,232.2,62627700,0.0,0.0,198.00060000000002,
2024-07-11,230.61,231.61,225.01,226.81,64710600,0.0,0.0,199.0832,
2024-07-12,228.15,231.86,227.91,229.77,53046500,0.0,0.0,200.28800000000004,
2024-07-15,235.69,236.44,232.31,233.61,62631300,0.0,0.0,201.5902,
2024-07-16,234.21,235.48,231.55,234.03,43234300,0.0,0.0,202.8264,
2024-07-17,228.68,230.68,225.88,228.11,57345900,0.0,0.0,203.7382,
2024-07-18,229.51,229.67,221.53,223.43,66034600,0.0,0.0,204.5896,
2024-07-19,224.07,226.04,222.53,223.56,49151500,0.0,0.0,205.43,
2024-07-22,226.25,227.02,222.34,223.21,48201800,0.0,0.0,206.2566,
2024-07-23,223.62,226.18,221.93,224.26,39960300,0.0,0.0,207.06779999999998,
2024-07-24,223.25,224.05,216.4,217.81,61777600,0.0,0.0,207.7752,
2024-07-25,218.2,220.11,213.9,216.76,51391200,0.0,0.0,208.39719999999997,
2024-07-26,217.97,218.75,215.29,217.23,41601300,0.0,0.0,209.00580000000002,
2024-07-29,216.23,218.57,215.03,217.51,36311800,0.0,0.0,209.5744,
2024-07-30,218.46,219.59,215.4,218.07,41643800,0.0,0.0,210.1518,
2024-07-31,220.7,223.07,219.89,221.34,50036300,0.0,0.0,210.79399999999998,
2024-08-01,223.62,223.73,216.29,217.63,62501000,0.0,0.0,211.3386,
2024-08-02,218.42,224.84,216.98,219.12,105568600,0.0,0.0,211.88679999999997,
2024-08-05,198.42,212.78,195.34,208.57,119548600,0.0,0.0,212.25300000000004,
2024-08-06,204.61,209.29,200.4,206.54,69660500,0.0,0.0,212.6588,
2024-08-07,206.21,212.92,205.7,209.12,63516400,0.0,0.0,213.05440000000002,
2024-08-08,212.4,213.48,208.13,212.6,47161100,0.0,0.0,213.51940000000002,
