Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-09-18,79.85,80.94,79.42,80.08,7637000,0.0,0.0,76.4372,
2024-09-19,81.77,82.28,79.66,80.16,15067100,0.0,0.0,76.61059999999999,
2024-09-20,86.98,87.11,83.95,85.65,52039300,0.0,0.0,76.877,
2024-09-23,84.54,85.66,84.19,85.33,17712400,0.0,0.0,77.13640000000001,
2024-09-24,86.56,87.39,85.79,86.58,21123300,0.0,0.0,77.4624,
2024-09-25,86.96,87.21,86.36,87.11,12392800,0.0,0.0,77.76939999999999,
2024-09-26,89.01,89.71,88.15,88.49,13592800,0.0,0.0,78.09899999999999,
2024-09-27,88.55,89.35,88.31,88.54,9181000,0.0,0.0,78.44319999999999,
2024-09-30,88.8,88.84,86.84,87.51,12027100,0.0,0.0,78.7604,
2024-10-01,87.11,88.74,86.83,88.23,20623400,0.0,0.0,79.04939999999999,
2024-10-02,82.05,84.37,80.95,82.26,33208800,0.0,0.0,79.24780000000001,
2024-10-03,81.57,82.93,81.15,81.27,18143800,0.0,0.0,79.47200000000001,
2024-10-04,81.8,82.7,81.27,81.42,10322600,0.0,0.0,79.69279999999999,
2024-10-07,81.31,81.64,79.28,80.01,12767400,0.0,0.0,79.8628,
2024-10-08,79.94,80.6,79.12,79.96,10569600,0.0,0.0,80.0124,
2024-10-09,80.32,82.09,80.25,81.62,11750600,0.0,0.0,80.18,
2024-10-10,82.56,82.61,81.2,81.27,8370200,0.0,0.0,80.32979999999999,
2024-10-11,81.21,81.44,80.36,81.32,10171100,0.0,0.0,80.5006,
2024-10-14,81.17,81.21,79.98,80.78,8177700,0.0,0.0,80.6574,
2024-10-15,80.23,81.89,80.23,81.29,11804400,0.0,0.0,80.8754,
2024-10-16,81.31,83.24,81.22,83.09,11220600,0.0,0.0,81.1082,
2024-10-17,83.26,83.9,82.54,82.56,9204500,0.0,0.0,81.328,
2024-10-18,82.93,83.1,81.8,82.08,7214800,0.0,0.0,81.5072,
2024-10-21,82.01,82.25,80.62,80.66,7550200,0.0,0.0,81.65520000000001,
2024-10-22,80.53,81.59,80.41,80.6,7308800,0.0,0.0,81.796,
2024-10-23,80.18,80.22,78.99,79.24,7253100,0.0,0.0,81.83359999999999,
2024-10-24,79.69,79.98,78.23,78.24,7424500,0.0,0.0,81.85079999999999,
2024-10-25,78.42,78.78,77.73,78.05,9385400,0.0,0.0,81.78559999999999,
2024-10-28,78.52,78.84,78.02,78.11,6617200,0.0,0.0,81.70739999999999,
2024-10-29,78.08,78.67,77.41,77.61,7241100,0.0,0.0,81.6182,
2024-10-30,77.21,77.32,75.65,75.68,15691300,0.0,0.0,81.48479999999999,
2024-10-31,75.43,76.56,74.44,76.35,13990100,0.0,0.0,81.3562,
2024-11-01,76.27,77.34,76.18,77.27,9623700,0.0,0.0,81.2576,
2024-11-04,77.2,77.76,76.33,76.41,6593800,0.0,0.0,81.1292,
2024-11-05,76.47,77.21,76.22,77.19,5629200,0.0,0.0,81.01180000000001,
2024-11-06,76.09,76.17,74.36,74.56,16193700,0.0,0.0,80.822,
2024-11-07,74.94,75.6,74.45,75.15,11831100,0.0,0.0,80.6932,
2024-11-08,74.74,75.79,74.49,75.11,8140800,0.0,0.0,80.5544,
2024-11-11,75.38,76.62,75.33,75.83,9877200,0.0,0.0,80.4288,
2024-11-12,75.69,76.65,75.37,75.89,9013900,0.0,0.0,80.3366,
2024-11-13,76.13,76.51,75.7,75.75,6835300,0.0,0.0,80.2476,
2024-11-14,75.91,76.2,74.91,74.92,6991600,0.0,0.0,80.1458,
2024-11-15,75.23,76.87,74.85,75.89,13584900,0.0,0.0,80.0672,
2024-11-18,75.39,75.43,73.5,74.13,12609200,0.0,0.0,79.976,
2024-11-19,73.75,73.98,72.86,73.16,12028400,0.0,0.0,79.8932,
2024-11-20,72.92,73.1,71.98,72.62,12290300,0.0,0.0,79.7934,
2024-11-21,72.62,74.8,72.46,74.34,12818600,0.0,0.0,79.72800000000001,
2024-11-22,75.36,76.72,75.06,76.62,12248600,0.0,0.0,79.6962,
2024-11-25,77.71,79.05,77.62,78.46,18328900,0.0,0.0,79.68560000000001,
2024-11-26,78.1,78.1,76.79,76.83,9495600,0.0,0.0,79.62559999999999,
2024-11-27,76.83,78.25,76.81,77.55,8713500,0.0,0.0,79.575,
2024-11-29,77.41,78.38,77.24,77.98,7123500,0.0,0.0,79.5314,
2024-12-02,77.53,78.7,76.81,78.69,11221000,0.4,0.0,79.3922,
2024-12-03,78.6,79.0,77.22,78.46,9414500,0.0,0.0,79.25479999999999,
2024-12-04,77.43,78.11,76.71,77.98,15042600,0.0,0.0,79.08279999999999,
2024-12-05,77.87,78.5,77.71,78.18,8316500,0.0,0.0,78.9042,
2024-12-06,78.82,80.77,78.44,78.49,13931100,0.0,0.0,78.7042,
2024-12-09,79.04,79.05,77.13,77.25,12043400,0.0,0.0,78.47840000000001,
2024-12-10,77.11,77.69,76.23,76.35,12193100,0.0,0.0,78.2552,
2024-12-11,76.4,78.58,75.93,78.45,12033200,0.0,0.0,78.0596,
2024-12-12,78.31,78.97,77.47,77.57,6983200,0.0,0.0,77.9658,
2024-12-13,76.96,77.44,76.38,76.86,8037300,0.0,0.0,77.87759999999999,
2024-12-16,76.37,78.62,76.27,76.81,13034000,0.0,0.0,77.7854,
2024-12-17,76.97,78.37,76.86,77.61,12452400,0.0,0.0,77.7374,
2024-12-18,77.59,78.6,76.45,76.51,14376900,0.0,0.0,77.6684,
2024-12-19,76.55,77.55,76.05,76.71,27067600,0.0,0.0,77.5702,
2024-12-20,75.58,77.61,74.48,76.55,49883400,0.0,0.0,77.47579999999999,
2024-12-23,75.95,78.02,75.36,76.37,14203800,0.0,0.0,77.37679999999999,
2024-12-24,76.36,76.72,75.98,76.4,4919100,0.0,0.0,77.2892,
2024-12-26,76.21,77.07,76.15,76.55,6363500,0.0,0.0,77.1944,
2024-12-27,76.13,76.54,75.42,76.04,6334400,0.0,0.0,77.0534,
2024-12-30,75.22,75.39,74.17,74.27,9042900,0.0,0.0,76.8876,
2024-12-31,74.52,76.01,74.4,75.29,9425600,0.0,0.0,76.7518,
2025-01-02,75.87,76.3,72.87,73.3,10883400,0.0,0.0,76.6046,
2025-01-03,73.55,73.82,72.64,72.94,10083500,0.0,0.0,76.45139999999999,
2025-01-06,73.38,73.95,71.61,71.64,14947300,0.0,0.0,76.2994,
2025-01-07,72.04,73.07,71.62,71.73,10463500,0.0,0.0,76.1692,
2025-01-08,71.2,71.46,70.65,70.93,11855000,0.0,0.0,76.02680000000001,
2025-01-10,71.49,72.03,70.73,70.84,15677400,0.0,0.0,75.8814,
2025-01-13,70.81,72.23,70.42,71.72,14584300,0.0,0.0,75.7636,
2025-01-14,71.71,71.85,70.17,70.81,16732900,0.0,0.0,75.6662,
2025-01-15,71.63,71.89,70.48,70.71,13468100,0.0,0.0,75.5534,
2025-01-16,70.54,70.87,69.97,70.75,13694600,0.0,0.0,75.423,
2025-01-17,71.07,71.16,70.48,70.48,9711300,0.0,0.0,75.3044,
2025-01-21,70.94,72.9,70.78,72.8,14199900,0.0,0.0,75.2166,
2025-01-22,73.01,74.32,72.64,73.67,13029300,0.0,0.0,75.1988,
2025-01-23,72.97,74.12,72.01,73.92,10677400,0.0,0.0,75.17419999999998,
2025-01-24,73.7,73.88,72.88,73.2,8106700,0.0,0.0,75.13600000000001,
2025-01-27,73.07,75.47,73.05,75.2,11665400,0.0,0.0,75.1234,
2025-01-28,74.95,75.22,73.79,74.02,8694400,0.0,0.0,75.086,
2025-01-29,74.08,76.72,73.95,76.19,11764800,0.0,0.0,75.09479999999999,
2025-01-30,76.46,78.37,76.46,77.94,10902100,0.0,0.0,75.1552,
2025-01-31,77.72,78.46,76.37,76.51,13105900,0.0,0.0,75.16760000000001,
2025-02-03,74.52,76.3,72.85,76.2,18539200,0.0,0.0,75.209,
2025-02-04,77.16,77.77,75.66,76.33,11943700,0.0,0.0,75.2724,
2025-02-05,75.92,76.4,74.03,74.19,9807400,0.0,0.0,75.3038,
2025-02-06,74.86,75.02,71.27,71.38,16059400,0.0,0.0,75.2446,80.4921
2025-02-07,70.2,70.45,68.27,68.33,27428700,0.0,0.0,75.0788,80.37145000000001
2025-02-10,69.01,70.59,68.77,70.58,16201300,0.0,0.0,74.9212,80.26285
2025-02-11,70.21,71.63,70.15,70.98,9636600,0.0,0.0,74.8042,80.1532
2025-02-12,70.24,72.09,69.98,71.9,10810900,0.0,0.0,74.6912,80.0516
2025-02-13,72.09,73.23,71.27,72.84,9739600,0.0,0.0,74.58840000000001,79.95379999999999
2025-02-14,72.8,73.13,71.98,72.67,9254400,0.0,0.0,74.46799999999999,79.85545
2025-02-18,74.12,77.29,74.12,77.2,28252400,0.0,0.0,74.4428,79.7886
2025-02-19,76.43,77.29,75.71,76.39,14184100,0.0,0.0,74.411,79.72715
2025-02-20,76.52,76.88,75.96,76.84,10689600,0.0,0.0,74.3842,79.65775
2025-02-21,77.01,77.6,75.48,76.11,12823400,0.0,0.0,74.3366,79.586
2025-02-24,78.48,80.68,78.35,79.88,24553500,0.0,0.0,74.3892,79.52715
2025-02-25,79.91,81.55,79.65,81.31,15522500,0.0,0.0,74.4884,79.4734
2025-02-26,81.69,82.02,80.43,80.76,16058100,0.0,0.0,74.5346,79.4178
2025-02-27,81.08,81.08,79.06,79.62,11651900,0.0,0.0,74.5756,79.3575
2025-02-28,78.85,79.62,77.79,79.03,14113800,0.0,0.0,74.619,79.30630000000001
2025-03-03,79.99,80.96,77.89,78.41,8628800,0.4,0.0,74.65100000000001,79.24325
2025-03-04,77.7,78.65,76.78,77.32,10034100,0.0,0.0,74.6452,79.1744
2025-03-05,77.33,78.31,76.46,77.81,9853600,0.0,0.0,74.6712,79.11349999999999
2025-03-06,76.74,78.33,76.74,77.71,9623700,0.0,0.0,74.69120000000001,79.0516
2025-03-07,77.48,79.0,76.97,78.59,9294300,0.0,0.0,74.732,78.9921
2025-03-10,77.51,80.19,76.06,76.4,15822600,0.0,0.0,74.7326,78.92365
2025-03-11,75.91,76.08,73.62,74.17,12837000,0.0,0.0,74.688,78.83890000000001
2025-03-12,74.36,74.5,73.23,73.58,12304900,0.0,0.0,74.62859999999999,78.75275
2025-03-13,73.18,73.94,71.67,72.64,10195900,0.0,0.0,74.5606,78.6673
2025-03-14,73.28,73.54,71.32,71.66,12183000,0.0,0.0,74.5084,78.57525
2025-03-17,72.14,73.95,72.03,73.7,15996900,0.0,0.0,74.4766,78.4922
2025-03-18,73.89,74.16,72.72,73.31,8972300,0.0,0.0,74.4768,78.4088
2025-03-19,72.64,73.43,72.29,72.99,10830500,0.0,0.0,74.4778,78.31505
2025-03-20,72.92,73.65,71.52,71.86,25202300,0.0,0.0,74.48219999999999,78.20779999999999
2025-03-21,66.59,68.73,65.17,67.94,77287000,0.0,0.0,74.40639999999999,78.08235
2025-03-24,68.56,68.89,66.69,67.39,26552500,0.0,0.0,74.3356,77.95245
2025-03-25,67.56,68.05,66.24,66.54,17394100,0.0,0.0,74.2496,77.8204
2025-03-26,66.38,66.59,64.95,65.74,18688300,0.0,0.0,74.13,77.67745000000001
2025-03-27,65.5,67.1,65.29,65.8,16435800,0.0,0.0,74.02980000000001,77.5307
2025-03-28,65.86,65.86,63.14,63.29,19600300,0.0,0.0,73.8814,77.3741
2025-03-31,62.84,63.99,62.65,63.48,17400000,0.0,0.0,73.736,77.2191
2025-04-01,63.83,65.16,63.3,64.76,13489500,0.0,0.0,73.6216,77.0813
2025-04-02,64.3,65.4,64.16,64.96,11161400,0.0,0.0,73.4648,76.942
2025-04-03,56.37,58.68,55.4,55.58,71499500,0.0,0.0,73.103,76.75970000000001
2025-04-04,53.22,59.22,52.5,57.25,67775700,0.0,0.0,72.7696,76.57785
2025-04-07,55.4,57.18,53.4,55.61,45374400,0.0,0.0,72.4178,76.38885
2025-04-08,58.77,58.77,52.37,53.27,30404300,0.0,0.0,71.9792,76.18425
2025-04-09,53.28,59.55,52.48,59.32,44732500,0.0,0.0,71.68520000000001,76.002
2025-04-10,57.23,57.25,52.28,54.4,53919800,0.0,0.0,71.24940000000001,75.79520000000001
2025-04-11,54.4,55.03,52.86,54.39,22617100,0.0,0.0,70.7784,75.60025
2025-04-14,55.64,56.69,54.67,55.41,28346600,0.0,0.0,70.3564,75.4138
2025-04-15,54.68,55.39,54.17,54.83,15977100,0.0,0.0,69.929,75.2238
2025-04-16,54.72,55.15,53.34,53.55,19094900,0.0,0.0,69.4734,75.12015000000001
2025-04-17,53.82,56.02,53.65,55.76,18899000,0.0,0.0,69.1048,75.02035000000001
