Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-04-26,41.71,43.4,41.71,42.99,681363,0.0,0.0,,
2024-04-29,43.11,43.73,42.75,43.58,494061,0.0,0.0,,
2024-04-30,43.57,43.95,42.58,42.82,515753,0.0,0.0,,
2024-05-02,42.94,43.13,42.01,42.09,622971,0.0,0.0,,
2024-05-03,42.38,45.01,42.35,44.03,1027976,0.0,0.0,,
2024-05-06,44.15,44.82,43.97,44.68,424468,0.0,0.0,,
2024-05-07,44.87,45.04,44.27,44.48,442019,0.0,0.0,,
2024-05-08,46.23,50.24,45.82,49.31,2187813,0.0,0.0,,
2024-05-09,49.06,51.71,48.69,51.63,1135894,0.0,0.0,,
2024-05-10,51.73,52.32,49.77,49.98,717388,0.0,0.0,,
2024-05-13,50.22,51.12,49.49,49.81,496270,0.0,0.0,,
2024-05-14,49.86,51.63,49.86,51.01,474702,0.0,0.0,,
2024-05-15,50.69,51.71,50.24,51.36,467110,0.0,0.0,,
2024-05-16,51.36,51.81,50.75,50.89,405686,0.0,0.0,,
2024-05-17,50.65,50.99,50.12,50.57,363511,0.0,0.0,,
2024-05-20,50.47,50.87,49.79,49.79,238352,0.0,0.0,,
2024-05-21,49.57,49.79,48.82,49.14,401759,0.0,0.0,,
2024-05-22,48.95,49.2,48.6,48.93,487441,0.0,0.0,,
2024-05-23,49.12,49.19,47.51,48.25,555743,0.82,0.0,,
2024-05-24,47.85,48.34,47.55,47.73,490571,0.0,0.0,,
2024-05-27,47.8,48.5,47.7,48.18,169988,0.0,0.0,,
2024-05-28,48.42,48.48,46.97,47.21,342183,0.0,0.0,,
2024-05-29,46.99,48.04,46.28,46.9,582794,0.0,0.0,,
2024-05-30,46.66,47.85,46.45,47.72,453119,0.0,0.0,,
2024-05-31,47.6,47.71,46.9,47.55,787997,0.0,0.0,,
2024-06-03,48.0,48.55,47.72,48.15,451200,0.0,0.0,,
2024-06-04,48.07,48.43,46.82,47.59,427067,0.0,0.0,,
2024-06-05,47.86,48.23,46.79,46.93,286476,0.0,0.0,,
2024-06-06,47.24,47.89,47.21,47.56,371448,0.0,0.0,,
2024-06-07,47.43,47.76,47.0,47.47,368757,0.0,0.0,,
2024-06-10,47.03,47.26,46.53,46.95,292082,0.0,0.0,,
2024-06-11,46.95,47.66,46.51,46.97,407423,0.0,0.0,,
2024-06-12,47.08,47.83,46.8,47.29,279548,0.0,0.0,,
